(5042, 24855, 33771)
(5042, 33771, 35894)
(5042, 23000, 24855)
(5042, 18943, 23000)
(5680, 23000, 35637)
(5680, 23000, 24855)
(1200, 35348, 38173)
(10253, 35348, 38173)
(16083, 22913, 24869)
(16083, 22913, 31756)
(18943, 21505, 31419)
(5042, 18943, 31419)
(20576, 21505, 31419)
(3931, 20576, 31419)
(5042, 31419, 35894)
(29620, 31419, 35894)
(388, 28191, 35637)
(5680, 28191, 35637)
(11154, 24855, 33771)
(5680, 11154, 24855)
(29872, 31163, 35822)
(24961, 29872, 35822)
(6447, 22314, 27637)
(6447, 22314, 24869)
(6447, 22913, 24869)
(886, 6447, 22913)
(16026, 18584, 23500)
(9668, 16026, 23500)
(9041, 36727, 38816)
(9041, 26007, 36727)
(11398, 26007, 36727)
(11398, 21406, 36727)
(45, 19866, 21966)
(45, 12218, 19866)
(11601, 30751, 31922)
(11601, 15885, 30751)
(5680, 28191, 36930)
(5680, 11154, 36930)
(1844, 17802, 38990)
(3558, 17802, 38990)
(21073, 34876, 35418)
(21073, 33728, 35418)
(28201, 31172, 38115)
(16115, 28201, 38115)
(5828, 25512, 34077)
(5828, 8198, 34077)
(8198, 13279, 34077)
(13279, 21951, 34077)
(12199, 20611, 35583)
(7737, 20611, 35583)
(10108, 12199, 20611)
(10108, 20611, 39519)
(1200, 33010, 35348)
(3526, 33010, 35348)
(4569, 25580, 28139)
(4569, 7106, 25580)
(1898, 15092, 24436)
(1898, 24436, 33171)
(9951, 12476, 21799)
(9951, 21799, 24859)
(2699, 13167, 22150)
(8313, 13167, 22150)
(13724, 19290, 22200)
(4986, 13724, 22200)
(14367, 16938, 33932)
(14367, 33932, 36495)
(4133, 10537, 33932)
(10537, 16938, 33932)
(15027, 37614, 38756)
(26434, 37614, 38756)
(15231, 33830, 35795)
(24993, 33830, 35795)
(3782, 10131, 25035)
(10131, 14246, 25035)
(1936, 21423, 30216)
(1936, 10680, 21423)
(10131, 14246, 35159)
(10131, 35159, 36149)
(1936, 30216, 35159)
(1936, 35159, 36149)
(13715, 28325, 35947)
(13715, 16139, 35947)
(9041, 32184, 38816)
(9041, 23626, 32184)
(28325, 32184, 35947)
(23626, 32184, 35947)
(33505, 33721, 39917)
(29127, 33721, 39917)
(12764, 15711, 26505)
(3389, 12764, 26505)
(11601, 15885, 37638)
(15885, 31705, 37638)
(13552, 36652, 40331)
(13552, 28145, 36652)
(19124, 29336, 32278)
(11035, 19124, 29336)
(8091, 14246, 35159)
(8091, 28167, 35159)
(8091, 28167, 38980)
(594, 8091, 38980)
(22516, 31355, 37834)
(22516, 34887, 37834)
(26134, 27375, 32830)
(13885, 26134, 27375)
(21948, 30751, 31922)
(21948, 31922, 32030)
(21948, 29903, 32030)
(21948, 29903, 32784)
(3759, 15885, 31705)
(3759, 31705, 35580)
(6228, 20099, 22449)
(6228, 20099, 38729)
(6382, 7372, 24780)
(6382, 7372, 20099)
(24788, 33621, 37842)
(17669, 24788, 37842)
(17669, 24788, 37105)
(6916, 17669, 37105)
(4015, 28268, 37105)
(4015, 6916, 37105)
(13926, 16936, 25521)
(13926, 25521, 37235)
(2019, 14875, 18014)
(2019, 18014, 33608)
(29610, 29620, 35894)
(9872, 29610, 35894)
(9198, 9380, 16323)
(9198, 16323, 23247)
(9198, 9380, 32754)
(9198, 15553, 32754)
(4653, 9198, 15553)
(4653, 9198, 21974)
(21073, 33018, 34876)
(21073, 29872, 33018)
(29872, 31163, 33018)
(16323, 31163, 33018)
(16323, 31163, 36646)
(9380, 16323, 36646)
(15553, 21292, 32754)
(6164, 15553, 21292)
(4653, 8375, 15553)
(6164, 8375, 15553)
(1675, 31082, 38115)
(1675, 16298, 38115)
(31172, 32473, 38115)
(16298, 32473, 38115)
(1844, 2673, 17802)
(1844, 2673, 21385)
(2673, 9914, 29227)
(2673, 21385, 29227)
(13279, 21857, 21951)
(13279, 21857, 28499)
(7737, 21857, 35583)
(7737, 21857, 28499)
(13279, 21498, 28499)
(13279, 21498, 28780)
(21498, 28780, 38415)
(21498, 34427, 38415)
(5654, 8198, 13279)
(5654, 13279, 28780)
(2049, 16352, 16543)
(2049, 16352, 30626)
(3398, 8606, 10808)
(3398, 10808, 37542)
(3398, 17629, 38608)
(3398, 17629, 26399)
(3703, 7454, 10473)
(7454, 10473, 30988)
(13548, 34427, 38415)
(13548, 18939, 38415)
(16535, 22925, 40329)
(4667, 16535, 40329)
(9666, 16352, 31778)
(9666, 16352, 30626)
(21605, 23908, 35047)
(21605, 28504, 35047)
(9742, 11675, 35047)
(11675, 23908, 35047)
(3236, 12982, 23936)
(3236, 12707, 23936)
(3163, 12885, 20722)
(4539, 12885, 20722)
(7415, 12272, 33679)
(10078, 12272, 33679)
(21160, 38920, 39689)
(10895, 21160, 38920)
(7415, 12272, 21160)
(12272, 21160, 39689)
(173, 26412, 40360)
(22709, 26412, 40360)
(3398, 38608, 39490)
(3398, 8606, 39490)
(1725, 18600, 21528)
(1725, 18600, 23413)
(1725, 7842, 26899)
(1725, 7842, 24818)
(3449, 10253, 35348)
(393, 3449, 10253)
(3449, 3526, 35348)
(3449, 3526, 29374)
(23953, 32849, 37747)
(24934, 32849, 37747)
(29903, 32784, 32849)
(23953, 32784, 32849)
(1200, 30736, 38173)
(21363, 30736, 38173)
(16083, 24869, 31152)
(22314, 24869, 31152)
(4439, 8365, 26813)
(4439, 8365, 32397)
(347, 14850, 31530)
(347, 5572, 31530)
(347, 4439, 32397)
(347, 4439, 23092)
(8365, 26813, 35673)
(8365, 30337, 35673)
(886, 22913, 35673)
(886, 30337, 35673)
(22913, 31756, 35673)
(26835, 31756, 35673)
(17, 32130, 34194)
(24831, 32130, 34194)
(9923, 25056, 37437)
(17967, 25056, 37437)
(9923, 25056, 34194)
(24831, 25056, 34194)
(6340, 15278, 27317)
(4569, 6340, 15278)
(4569, 15278, 28139)
(4254, 15278, 28139)
(4254, 28139, 36593)
(4254, 19924, 36593)
(16211, 18786, 39928)
(18786, 37377, 39928)
(1100, 30566, 39928)
(1100, 16211, 39928)
(15805, 17386, 35998)
(2815, 15805, 17386)
(24436, 27732, 35448)
(24436, 35448, 38737)
(35104, 35448, 37684)
(35448, 37684, 38737)
(21706, 23490, 37307)
(12944, 21706, 37307)
(21706, 23490, 34707)
(4777, 21706, 34707)
(4777, 21706, 23235)
(4836, 21706, 23235)
(4777, 13508, 23235)
(2806, 13508, 23235)
(1898, 20459, 33171)
(1898, 12569, 20459)
(24436, 33171, 35735)
(24436, 27732, 35735)
(6220, 20459, 35735)
(20459, 33171, 35735)
(5993, 24436, 38737)
(5993, 15092, 24436)
(5993, 37684, 38737)
(5993, 26829, 37684)
(2806, 13508, 37126)
(2806, 8812, 37126)
(4777, 31788, 34707)
(4777, 13508, 31788)
(19339, 29104, 39884)
(19339, 29104, 37945)
(6220, 16965, 23410)
(6220, 23410, 35735)
(28865, 30627, 32185)
(28865, 30627, 33949)
(727, 16106, 19216)
(727, 19216, 34263)
(11731, 29496, 38314)
(8828, 11731, 29496)
(6497, 14288, 17791)
(6497, 17791, 27118)
(9951, 12122, 24859)
(9031, 9951, 12122)
(12122, 14777, 32953)
(12122, 14777, 24859)
(12122, 24496, 32953)
(12122, 24496, 27118)
(6497, 12122, 27118)
(6497, 9031, 12122)
(981, 36052, 38631)
(10691, 36052, 38631)
(12686, 14028, 22331)
(14028, 22331, 22643)
(2699, 13167, 14347)
(13167, 14347, 23500)
(9668, 14347, 23500)
(6389, 9668, 14347)
(4986, 14347, 22200)
(2699, 4986, 14347)
(9668, 16026, 22911)
(10691, 16026, 22911)
(6389, 7951, 22911)
(6389, 9668, 22911)
(1510, 22911, 27797)
(1510, 7951, 22911)
(22911, 27797, 38631)
(10691, 22911, 38631)
(2699, 22150, 34454)
(2699, 4986, 34454)
(5527, 27530, 40073)
(13494, 27530, 40073)
(5527, 27530, 37351)
(27530, 30485, 37351)
(13724, 19290, 37351)
(19290, 30485, 37351)
(1793, 19109, 39295)
(1793, 19109, 33609)
(7604, 15400, 21863)
(7604, 21863, 31249)
(15400, 21863, 26056)
(21863, 26056, 31834)
(8698, 17445, 37816)
(5985, 8698, 37816)
(1510, 7951, 17245)
(1510, 17245, 28345)
(10390, 26639, 35867)
(7115, 10390, 26639)
(4334, 13064, 26105)
(246, 4334, 26105)
(884, 26528, 29088)
(884, 15790, 26528)
(884, 6652, 29088)
(884, 6652, 13064)
(12080, 26434, 38756)
(12080, 34603, 38756)
(6968, 35865, 39714)
(6968, 35759, 35865)
(7506, 12080, 34603)
(7506, 12080, 31465)
(7506, 35865, 39714)
(3393, 7506, 35865)
(8714, 10490, 19041)
(8714, 10170, 10490)
(8714, 35696, 38599)
(8714, 10170, 35696)
(24993, 31057, 35795)
(31057, 31634, 35795)
(7959, 22770, 29030)
(7959, 29030, 31624)
(22234, 31057, 35376)
(31057, 32423, 35376)
(14731, 27018, 38170)
(9702, 14731, 38170)
(9702, 9768, 14731)
(4929, 9768, 14731)
(4929, 14731, 33683)
(14618, 14731, 33683)
(9405, 14731, 27018)
(9405, 14618, 14731)
(9405, 18240, 27018)
(9405, 11169, 18240)
(4467, 31057, 32423)
(4467, 24993, 31057)
(10170, 24844, 35696)
