(6727, 25605, 30693)
(18352, 23776, 24247)
(7880, 23136, 31960)
(9489, 20535, 22949)
(1780, 15697, 25300)
(12046, 34820, 36601)
(15391, 19027, 26194)
(12405, 24854, 24986)
(10840, 21614, 32844)
(1905, 20891, 23797)
(9925, 21534, 22951)
(4791, 6686, 15933)
(5333, 19915, 27693)
(3418, 23094, 23827)
(16617, 25385, 31186)
(29755, 36889, 39821)
(10461, 17129, 19050)
(11053, 12219, 34675)
(11472, 16952, 34457)
(8972, 39861, 40046)
(8721, 12896, 13880)
(10870, 12964, 31120)
(8050, 15438, 15848)
(18633, 22752, 31592)
(18144, 22987, 25171)
(22999, 30933, 34367)
(9961, 21095, 33484)
(9150, 13640, 27226)
(3137, 15325, 24120)
(12076, 26708, 29418)
(8589, 14899, 34576)
(37230, 38133, 38555)
(8687, 25724, 34673)
(18257, 20436, 26662)
(10539, 30217, 33080)
(20424, 24113, 25989)
(3008, 10194, 17157)
(9874, 17711, 35930)
(11749, 15435, 26609)
(9368, 14872, 20728)
(3574, 29409, 32926)
(10005, 12685, 21474)
(21679, 24231, 25411)
(4077, 20897, 29700)
(13940, 31352, 37954)
(15357, 25900, 30034)
(10947, 20261, 35924)
(5794, 10512, 36648)
(25455, 31906, 36970)
(1949, 8913, 10690)
(6179, 9384, 29870)
(9691, 23681, 35665)
(11985, 24581, 26521)
(163, 26930, 27417)
(9240, 14358, 22766)
(16383, 26898, 32971)
(14011, 25311, 29767)
(12614, 12673, 17545)
(25364, 30288, 31826)
(5125, 13848, 37942)
(6641, 21438, 24683)
(2948, 8944, 23909)
(1279, 5812, 24431)
(11291, 18101, 24564)
(4391, 4451, 15094)
(7518, 27375, 32830)
(20403, 25199, 29172)
(11023, 27202, 36150)
(14043, 17159, 19722)
(1093, 16445, 27723)
(2757, 26640, 29592)
(22492, 25417, 27016)
(1648, 22413, 30328)
(5898, 6208, 14821)
(20261, 31132, 33424)
(135, 37326, 39802)
(11046, 28535, 30035)
(8798, 13725, 34790)
(14367, 14905, 36495)
(1182, 1315, 12299)
(25611, 29096, 30754)
(311, 28136, 33761)
(16194, 20791, 28279)
(20678, 24481, 31484)
(15226, 17481, 19475)
(7379, 7935, 8448)
(21346, 22271, 23419)
(8094, 19036, 24591)
(1906, 25586, 34966)
(18000, 19421, 20628)
(3471, 9492, 29399)
(11540, 24146, 35371)
(10857, 15082, 27368)
(934, 6792, 34916)
(9797, 22282, 29744)
(21707, 24640, 27711)
(18216, 26989, 36717)
(7741, 15888, 34240)
(10696, 21212, 30005)
(12013, 14537, 23997)
(15734, 24524, 26881)
(18399, 25903, 29186)
(1252, 8556, 27155)
(3963, 38685, 40438)
(10557, 27949, 28658)
(8996, 11831, 32195)
(9158, 16219, 25720)
(9133, 34086, 34496)
(7622, 28371, 35438)
(20984, 23459, 32287)
(13264, 19173, 25576)
(12562, 20186, 25079)
(7454, 17274, 30988)
(3829, 18529, 29851)
(5306, 8196, 24322)
(4601, 7906, 25786)
(26887, 31543, 40010)
