(1283, 9113)
(1079, 6335)
(8728, 9447)
(8802, 9650)
(349, 3486)
(3873, 8877)
(3273, 8055)
(2263, 8757)
(2807, 3687)
(2873, 4284)
(4395, 5188)
(820, 6676)
(623, 3741)
(4152, 6899)
(6311, 6592)
(8198, 9128)
(8387, 8715)
(9146, 9224)
(3481, 7776)
(3746, 9187)
(1946, 3626)
(3877, 7283)
(2429, 9553)
(476, 6463)
(1432, 8274)
(3541, 5578)
(6366, 7341)
(7499, 9973)
(3270, 8335)
(405, 7507)
(7397, 8990)
(5714, 6614)
(1903, 2228)
(1497, 5688)
(6626, 7582)
(1896, 3993)
(225, 946)
(1790, 8922)
(313, 4101)
(1621, 8868)
(539, 6728)
(6000, 7533)
(126, 7625)
(2088, 9060)
(1189, 9886)
(1170, 4387)
(3067, 7308)
(6047, 9078)
(4221, 9486)
(5987, 7537)
(4733, 7708)
(1061, 6256)
(6656, 8441)
(3523, 3905)
(2824, 3637)
(2905, 4435)
(1452, 6945)
(1551, 7403)
(1335, 8604)
(4194, 10024)
(2064, 5181)
(4914, 5087)
(3087, 7187)
(66, 7255)
(824, 5234)
(1499, 5326)
(5303, 7560)
(7676, 8918)
(5383, 8332)
(1248, 6277)
(2264, 9663)
(3296, 5461)
(302, 5584)
(4050, 7874)
(5043, 8442)
(5711, 8437)
(6349, 8251)
(7050, 8302)
(1118, 1189)
(255, 3553)
(190, 3604)
(981, 5495)
(4380, 8630)
(5803, 9590)
(1481, 4951)
(729, 5018)
(2949, 3673)
(1761, 4092)
(248, 711)
(3565, 6354)
(5967, 7891)
(4376, 7400)
(7704, 9565)
(4131, 7179)
(3478, 8676)
(3297, 7850)
(7728, 7974)
(2558, 2977)
(1440, 2272)
(4678, 4903)
(5653, 6741)
(78, 3972)
(6040, 9573)
(3465, 4087)
(5743, 5894)
(3250, 4710)
(973, 4221)
(5540, 6101)
(6886, 6970)
(5871, 8592)
(3815, 6370)
(8262, 9665)
(8892, 9814)
(1830, 4515)
(7679, 9659)
(5994, 9314)
(3160, 8851)
(294, 6913)
(1128, 4959)
(2662, 6915)
(3432, 7102)
(6378, 9333)
(3548, 4161)
(1392, 9009)
(298, 7024)
(6262, 8761)
(2207, 6352)
(2239, 3380)
(1282, 6245)
(1610, 7170)
(4469, 7008)
(2952, 3388)
(960, 3026)
(3864, 7737)
(8199, 9119)
(3699, 5445)
(4725, 6867)
(5627, 9248)
(2470, 9220)
(7929, 9316)
(6933, 7387)
(5200, 9406)
(2939, 5715)
(2300, 4436)
(9224, 9437)
(1813, 8472)
(3834, 8719)
(1815, 7973)
(6053, 9226)
(2896, 5665)
(1092, 6007)
(940, 4612)
(4067, 8250)
(2711, 5331)
(2874, 9531)
(4665, 5092)
(1011, 6146)
(2779, 8292)
(9031, 9361)
(3796, 8774)
(7556, 9149)
(2279, 4458)
(7409, 8567)
(336, 3041)
(2396, 3117)
(8748, 9325)
(9610, 10083)
(5132, 5153)
(347, 4172)
(6213, 6771)
(2861, 5099)
(2349, 5783)
(3835, 7444)
(4496, 5667)
(4349, 7489)
(986, 9675)
(756, 4806)
(808, 1872)
(3547, 6140)
(5271, 8389)
