(1283, 9113)
(1079, 6335)
(3873, 8877)
(4840, 6824)
(8387, 8715)
(2429, 9553)
(1439,)
(7397, 8990)
(10051,)
(313, 4101)
(879, 9421)
(1061, 6256)
(1335, 8604)
(1248, 6277)
(9387, 9861)
(7822,)
(9099,)
(7704, 9565)
(783, 1031)
(925,)
(628, 7152)
(3160, 8851)
(8199, 9119)
(2470, 9220)
(7929, 9316)
(247,)
(3189, 3599, 8604)
(8748, 9325)
(347, 4172)
(2335,)
(5271, 8389)
(3868, 7305)
(9020, 9556)
(2104, 9035)
(1804, 4636)
(853, 1648, 2080)
(2669, 8455)
(2358, 7366)
(9749,)
(4987, 8126)
(7622, 9136)
(779, 3494)
(6794,)
(856,)
(9251, 9708)
(8458, 9620)
(2255, 8068)
(75, 8285)
(6410, 9833)
(6414, 6757)
(8189,)
(501, 7939)
(2944,)
(9893,)
(7492, 9530)
(7994, 9367)
(6383, 9842)
(1335, 3992)
(5857, 8161)
(1428, 5282)
(4944, 9301)
(2230, 7550)
(6858, 8028)
(2511, 9154)
(630, 8417)
(98, 4828)
(5805, 7724)
(2647, 7941)
(925, 4320)
(8035, 8101)
(9770,)
(2055, 5260)
(1813, 3787)
(925, 4320, 5153)
(6837, 9933)
(158, 6237)
(828, 4204)
(2037, 9017)
(1150, 7412)
(4104, 9458)
(933, 9538)
(3285, 8800)
(9157,)
(4001, 6475)
(8541, 9074)
(2353, 9361)
(4836, 6984)
(219, 3559)
(8861, 8904)
(3912, 7055)
(6479, 9393)
(4065, 8804)
(5453, 9201)
(9255, 9313)
(3940, 9453)
(712, 8994)
(8738, 9878)
(379,)
(2669, 2852)
(3024, 5318)
(8950, 9263)
(7935, 9827)
(1518,)
(1720, 6162)
(3516,)
(8984, 9302)
(806, 5393)
(9807,)
(8758,)
(2341, 9953)
(9479, 9884)
(5357, 7275)
(7898, 9090)
(6219, 8339)
(9881,)
(6072, 8432)
(2831, 3593)
(4129, 9875)
(3730, 7205)
(719, 5820)
(1703, 7435)
(891, 6630)
(8244,)
(3594, 3683)
(885, 4496)
(1119,)
(86, 3510)
(3606, 6099)
(5026, 9980)
(3579, 10005)
(2740, 8565)
(855, 2936)
(2384, 9593)
(1435, 4159)
(65, 2964)
(2204, 8682)
(6073, 9906)
(4430,)
(1283,)
(9828,)
(7527, 8038)
(3552, 8867)
(5655, 8304)
(7363, 9888)
(4092, 8314)
(3706, 8909)
(5200, 9801)
(7263, 9818)
(1720, 2692)
(3367, 9054)
(6945, 9897)
(1818,)
(4072,)
(8265,)
(4254, 5241)
(7231, 8679)
(400, 8410)
(410, 4775)
(9837, 9876)
(1140,)
(6174, 7719)
(730, 6182)
(1322, 9656)
(9003, 9812)
(397, 1697)
(5154,)
(8658, 9434)
(6375,)
(2124, 9472)
(8173, 8873)
(8358, 9366)
(2215, 2536)
(6720, 9472)
(271,)
(9068, 9797)
(2251, 8150)
(6989, 9869)
(8310, 8448)
(1015, 5511)
(6258, 8886)
(8038, 9428)
(8890,)
(410, 447)
(6711, 8144)
(48, 7148)
(4840, 9178)
(6910,)
(1041, 7821)
(8868, 9374)
(9385, 9745)
(4270, 9442)
