(6727, 25605, 30693)
(7880, 23136, 31960)
(9489, 20535, 22949)
(12405, 24854, 24986)
(10840, 21614, 32844)
(9925, 21534, 22951)
(4791, 6686, 15933)
(18633, 22752, 31592)
(3137, 15325, 24120)
(10539, 30217, 33080)
(9874, 17711, 35930)
(4077, 20897, 29700)
(1949, 8913, 10690)
(9240, 14358, 22766)
(163, 26930, 27417)
(11023, 27202, 36150)
(14043, 17159, 19722)
(22492, 25417, 27016)
(14367, 14905, 36495)
(16194, 20791, 28279)
(18000, 19421, 20628)
(3471, 9492, 29399)
(10857, 15082, 27368)
(11540, 24146, 35371)
(15734, 24524, 26881)
(20984, 23459, 32287)
(5306, 8196, 24322)
(4030, 33821, 34353)
(11571, 15087, 22336)
(282, 27245, 32039)
(1232, 12845, 33862)
(17461, 19588, 30768)
(23950, 26145, 36098)
(6878, 15408, 24198)
(17275, 25837, 27663)
(15455, 18600, 21528)
(13032, 20891, 21443)
(2290, 24865, 25684)
(16827, 24674, 27540)
(21794, 29197, 34094)
(19045, 25392, 35319)
(878, 15407, 32637)
(13008, 17934, 31203)
(5141, 31022, 31073)
(4551, 28348, 31616)
(6512, 15143, 16823)
(4321, 16681, 23460)
(10749, 16643, 23329)
(20352, 23256, 31185)
(14352, 22789, 32710)
(14901, 16177, 21703)
(17683, 26447, 29976)
(2388, 5821, 28315)
(8307, 21179, 24936)
(6594, 10041, 11168)
(17441, 27743, 31463)
(14896, 24237, 29986)
(7444, 14032, 31077)
(8174, 24587, 26758)
(10239, 18996, 23022)
(5038, 7874, 19234)
(4145, 24194, 37832)
(15152, 30663, 35816)
(915, 22228, 30192)
(16015, 38014, 40026)
(9233, 14925, 17990)
(13570, 18988, 22304)
(2360, 5311, 17477)
(11857, 26393, 28385)
(18198, 26871, 30991)
(8140, 30394, 32100)
(15509, 19616, 25683)
(16700, 19851, 21600)
(2280, 25217, 33676)
(9525, 10171, 23165)
(8694, 13012, 17440)
(9592, 18805, 28032)
(8910, 11450, 28680)
(16637, 28979, 33225)
(4773, 8387, 36565)
(11246, 25678, 26230)
(34103, 39408, 40535)
(10950, 12531, 27877)
(7062, 13711, 15776)
(437, 21201, 34247)
(30783, 33730, 34891)
(3422, 4806, 13538)
(18229, 24359, 30674)
(7512, 39411, 39721)
(13280, 18653, 21670)
(568, 23330, 30269)
(12602, 16162, 21119)
(2943, 5866, 19999)
(22509, 30223, 31346)
(11183, 22306, 34431)
(20756, 31577, 33669)
(8756, 19513, 19633)
(228, 24339, 26472)
(6437, 17234, 36878)
(13639, 16699, 19677)
(8935, 10098, 11479)
(7790, 10324, 12229)
(4608, 31752, 32917)
(1853, 4802, 14637)
(15413, 28488, 29751)
(395, 14423, 24147)
(13759, 19261, 19504)
(12114, 21448, 31049)
(4787, 18991, 29743)
(2889, 12511, 27139)
(3951, 6552, 17583)
(2169, 2343, 40040)
(9637, 29801, 38591)
