(6084, 7131, 8731)
(6084, 8123, 8731)
(1550, 3793, 9294)
(3040, 3793, 9294)
(1857, 2507, 9073)
(1857, 5305, 9073)
(45, 1857, 5985)
(45, 1857, 2507)
(3820, 3882, 7331)
(3882, 4536, 7331)
(883, 3104, 5125)
(883, 3104, 7059)
(1320, 1431, 3771)
(717, 1320, 1431)
(1611, 2212, 2933)
(2212, 2933, 8772)
(3657, 4996, 8936)
(3657, 8936, 10069)
(3264, 6148, 8590)
(3264, 5262, 6148)
(5262, 6148, 9569)
(4153, 6148, 9569)
(871, 9569, 9835)
(871, 5262, 9569)
(180, 4153, 9569)
(180, 2395, 9569)
(1550, 3793, 4511)
(3793, 4077, 4511)
(171, 3244, 4511)
(3244, 4077, 4511)
(3244, 4077, 6748)
(3244, 5682, 6748)
(6828, 8754, 9559)
(6828, 8551, 8754)
(2507, 3996, 9073)
(1640, 3996, 9073)
(45, 3996, 7458)
(45, 2507, 3996)
(1857, 5305, 9575)
(5305, 7436, 9575)
(1640, 8476, 9073)
(1640, 8476, 9072)
(7436, 9575, 9696)
(3461, 9575, 9696)
(1860, 5050, 6546)
(524, 5050, 6546)
(2290, 6705, 7648)
(5280, 6705, 7648)
(3022, 3689, 9981)
(3022, 3689, 4512)
(2592, 3022, 7971)
(2592, 3022, 4512)
(2471, 2861, 7875)
(2861, 3249, 7875)
(441, 1821, 5443)
(91, 441, 5443)
(441, 3997, 4147)
(441, 3997, 6445)
(91, 441, 2241)
(441, 2241, 4147)
(2241, 4147, 9245)
(4147, 7494, 9245)
(2088, 3997, 6445)
(2088, 3997, 4594)
(1786, 2500, 9960)
(754, 2500, 9960)
(3060, 5231, 7303)
(1497, 3060, 7303)
(2341, 6487, 10080)
(2282, 6487, 10080)
(1560, 7982, 8130)
(2605, 7982, 8130)
(15, 2543, 8521)
(2066, 2543, 8521)
(5393, 5684, 9492)
(3258, 5393, 9492)
(5865, 6278, 9096)
(5865, 6278, 7451)
(2458, 5137, 6742)
(2541, 5137, 6742)
(1903, 2933, 8772)
(1650, 1903, 2933)
(862, 2439, 5931)
(2439, 3918, 5931)
(2439, 4809, 4832)
(2439, 4832, 7473)
(4832, 7473, 9486)
(4832, 6079, 9486)
(2439, 3918, 4184)
(2439, 4184, 4809)
(3818, 6462, 8265)
(3818, 4500, 6462)
(5712, 5859, 6958)
(710, 5859, 6958)
(1261, 2149, 9273)
(1261, 2149, 5008)
(4688, 6889, 6912)
(235, 4688, 6889)
(2492, 7294, 7830)
(2492, 3518, 7830)
(2723, 8270, 8590)
(2723, 3264, 8590)
(4546, 9569, 9835)
(2395, 4546, 9569)
(1039, 1433, 8314)
(1039, 3726, 8314)
(171, 1433, 8314)
(171, 3244, 8314)
